word,frequency
lorem,3
ipsum,3
dolor,2
sit,5
amet,5
consectetur,1
adipiscing,1
elit,6
sed,3
do,1
eiusmod,1
tempor,3
incididunt,1
ut,5
labore,1
et,3
dolore,2
magna,2
aliqua,1
enim,1
ad,1
minim,1
veniam,1
quis,2
nostrud,1
exercitation,1
ullamco,1
laboris,1
nisi,1
aliquip,1
ex,1
ea,2
commodo,3
consequat,3
duis,3
aute,1
irure,1
in,5
reprehenderit,1
voluptate,1
velit,1
esse,1
cillum,1
eu,2
fugiat,1
nulla,4
pariatur,1
excepteur,1
sint,1
occaecat,1
cupidatat,1
non,1
proident,1
sunt,1
culpa,1
qui,1
officia,1
deserunt,1
mollit,1
anim,1
id,6
est,4
laborum,1
curabitur,1
pretium,1
tincidunt,2
lacus,2
gravida,2
orci,1
a,8
odio,2
nullam,1
varius,2
turpis,3
pharetra,1
eros,2
bibendum,2
nec,4
luctus,1
felis,2
sollicitudin,2
mauris,4
integer,1
nibh,2
euismod,3
ac,1
tellus,2
risus,3
vulputate,1
vehicula,1
donec,2
lobortis,1
etiam,1
ullamcorper,1
ligula,1
congue,1
sapien,2
quam,1
maecenas,1
fermentum,2
mi,2
pellentesque,2
malesuada,1
sem,2
aliquet,1
eget,1
neque,3
aliquam,1
convallis,1
purus,1
praesent,1
diam,3
semper,1
1500s,1
industry,1
standard,1
dummy,3
text,4
1960s,1
popularized,1
by,2
letraset,1
sheets,1
1990s,1
bundled,1
with,1
desktop,1
publishing,1
software,1
phasellus,1
arcu,2
scelerisque,1
vel,3
feugiat,1
pede,2
molestie,1
lectus,1
key,1
benefit,1
of,1
using,1
long,1
is,4
that,1
it,2
allows,1
designers,1
to,2
focus,1
on,1
layout,1
and,4
typography,1
rather,1
than,1
being,1
distracted,1
the,1
content,2
itself,1
vestibulum,1
nunc,1
porta,1
porttitor,1
sodales,4
at,1
urna,1
aenean,1
tristique,1
justo,1
egestas,1
morbi,1
this,1
designed,1
be,1
placeholder,1
does,1
not,1
convey,1
specific,1
message,1
–,1
generator,1
origins,1
meaning,1
history,1
purpose,1
usage,1
or,2
lipsum,1
as,1
sometimes,1
known,1
used,1
laying,1
out,1
print,1
graphic,1
we,1
