word,frequency
a,8
elit,6
id,6
sit,5
amet,5
ut,5
in,5
nulla,4
est,4
nec,4
mauris,4
text,4
is,4
and,4
sodales,4
lorem,3
ipsum,3
sed,3
tempor,3
et,3
commodo,3
consequat,3
duis,3
turpis,3
euismod,3
risus,3
neque,3
diam,3
dummy,3
vel,3
dolor,2
dolore,2
magna,2
quis,2
ea,2
eu,2
tincidunt,2
lacus,2
gravida,2
odio,2
varius,2
eros,2
bibendum,2
felis,2
sollicitudin,2
nibh,2
tellus,2
donec,2
sapien,2
fermentum,2
mi,2
pellentesque,2
sem,2
by,2
arcu,2
pede,2
it,2
to,2
content,2
or,2
consectetur,1
adipiscing,1
do,1
eiusmod,1
incididunt,1
labore,1
aliqua,1
enim,1
ad,1
minim,1
veniam,1
nostrud,1
exercitation,1
ullamco,1
laboris,1
nisi,1
aliquip,1
ex,1
aute,1
irure,1
reprehenderit,1
voluptate,1
velit,1
esse,1
cillum,1
fugiat,1
pariatur,1
excepteur,1
sint,1
occaecat,1
cupidatat,1
non,1
proident,1
sunt,1
culpa,1
qui,1
officia,1
deserunt,1
mollit,1
anim,1
laborum,1
curabitur,1
pretium,1
orci,1
nullam,1
pharetra,1
luctus,1
integer,1
ac,1
vulputate,1
vehicula,1
lobortis,1
etiam,1
ullamcorper,1
ligula,1
congue,1
quam,1
maecenas,1
malesuada,1
aliquet,1
eget,1
aliquam,1
convallis,1
purus,1
praesent,1
semper,1
1500s,1
industry,1
standard,1
1960s,1
popularized,1
letraset,1
sheets,1
1990s,1
bundled,1
with,1
desktop,1
publishing,1
software,1
phasellus,1
scelerisque,1
feugiat,1
molestie,1
lectus,1
key,1
benefit,1
of,1
using,1
long,1
that,1
allows,1
designers,1
focus,1
on,1
layout,1
typography,1
rather,1
than,1
being,1
distracted,1
the,1
itself,1
vestibulum,1
nunc,1
porta,1
porttitor,1
at,1
urna,1
aenean,1
tristique,1
justo,1
egestas,1
morbi,1
this,1
designed,1
be,1
placeholder,1
does,1
not,1
convey,1
specific,1
message,1
–,1
generator,1
origins,1
meaning,1
history,1
purpose,1
usage,1
lipsum,1
as,1
sometimes,1
known,1
used,1
laying,1
out,1
print,1
graphic,1
we,1
